Date,Open,High,Low,Close,Volume
2018-01-11,1055.25,1083.4,1055.25,1075.8,8387735.0
2018-01-12,1085.8,1085.9,1070.55,1078.45,9008264.0
2018-01-15,1080.0,1092.95,1065.1,1081.15,5324625.0
2018-01-16,1081.25,1134.8,1081.25,1122.85,11323483.0
2018-01-17,1124.85,1161.8,1123.0,1152.1,13077044.0
2018-01-18,1145.0,1164.9,1132.1,1152.7,6602485.0
2018-01-19,1145.0,1147.9,1136.0,1143.45,2994139.0
2018-01-22,1132.15,1156.95,1132.0,1150.0,4825107.0
2018-01-23,1155.0,1188.0,1155.0,1177.1,7701898.0
2018-01-24,1174.8,1221.05,1167.5,1185.8,10302359.0
2018-01-25,1182.0,1183.4,1162.25,1175.4,6774457.0
2018-01-26,1174.275,1189.825,1163.725,1179.15,6092979.0
2018-01-29,1166.55,1196.25,1165.2,1182.9,5411501.0
2018-01-30,1178.9,1183.1,1162.7,1170.65,4314156.0
2018-01-31,1159.15,1166.6,1142.15,1150.25,4606849.0
2018-02-01,1142.2,1157.9,1118.55,1144.6,6502727.0
2018-02-02,1135.25,1162.9,1130.1,1143.25,5122243.0
2018-02-05,1140.0,1154.85,1135.85,1138.2,4930110.0
2018-02-06,1099.95,1128.35,1095.15,1107.75,5276039.0
2018-02-07,1116.0,1124.8,1103.55,1109.05,4171028.0
